,$p(\overline{DC_{3}})$,"('$p(DC_{3})$', 'IEEE33', 'PM')","('$p(DC_{3})$', 'IEEE69', 'PM')","('$p(DC_{3})$', 'SA', 'PM')","('$p(DC_{3})$', 'CA141', 'PM')"
0,0.5834020139118462,0.992170787755794,0.992170787755794,0.99217078244615,0.9833232528552897
1,0.6178528017340659,0.9974584661942222,0.9991859224757424,0.9994542119306817,0.9936412039195047
2,0.6038024735702469,0.998519689908143,0.9989619364457872,0.9990541033232279,0.9972867163634154
3,0.6203862057441859,0.9994394593891535,0.9995301296939889,0.9995526711736474,0.9990378780919392
4,0.6134002548520743,0.999422899520532,0.9997708193857042,0.9999682140331383,0.9986807406536343
5,0.6384885808971612,0.9996775076529386,0.9999024711701633,0.9999965037321753,0.9990861925044299
6,0.6717477487703345,0.9977001094046926,0.9992465971647896,0.9999654647073851,0.9942770088849973
7,0.6268905999241688,0.9891513771376955,0.9925260286204046,0.9938571431202332,0.9842443190805399
8,0.5794695300033006,0.9835499228019354,0.9896995030737386,0.9896994804789531,0.972921201035427
9,0.5665790745281104,0.9751455815334131,0.9751455815334131,0.9751455753523773,0.9719125092089353
10,0.5589181885044805,0.963251420778753,0.963251420778753,0.9632514168998417,0.963251420778753
11,0.5529980217094608,0.929393448502985,0.929393448502985,0.9293934475966882,0.929393448502985
12,0.476510363738918,0.8599215495868948,0.8599215495868948,0.8599215495868948,0.8599215495868948
13,0.536225783067696,0.8891837619244259,0.8891837619244259,0.8891837619244259,0.8891837619244259
14,0.5414144820611341,0.9702207426885407,0.9702207426885407,0.9702207391166567,0.9702207308570757
15,0.5434362871494711,0.9885032165644934,0.9885032165644934,0.9885032114803043,0.9747570576923072
16,0.5479937985319289,0.9960218222722274,0.9980012318834024,0.9980012287716432,0.9836063819535155
17,0.5468683339324422,0.9914022198635516,0.9914022198635516,0.9914022149769529,0.9870762918133495
18,0.5,0.9982992612401717,0.9992027939685182,0.9992027918489256,0.9901503795199927
19,0.5135243372538841,0.9763761598312536,0.9763761598312536,0.9763761574102171,0.9763761598312536
20,0.5454784213679549,0.9188017595827658,0.9188017595827658,0.9188017577664598,0.9188017595827658
21,0.5046796272276968,0.97519302668853,0.97519302668853,0.9751930235116539,0.97519302668853
22,0.4921825797437511,0.9866267552748293,0.9929767571442878,0.9950309116970498,0.9747598977133857
23,0.5137389708752119,0.9940763403973202,0.998112736458447,0.9981127307330688,0.9833918631298616
