,$p(\overline{I_{pv}})$,"('$p(I_{pv})$', 'IEEE33', 'PM')","('$p(I_{pv})$', 'IEEE69', 'PM')","('$p(I_{pv})$', 'SA', 'PM')","('$p(I_{pv})$', 'CA141', 'PM')"
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.5465890337345249,0.0005986951930734286,0.0005986951930734286,0.0005986951930734286,0.0005986951930734286
8,0.5224088351041238,0.002190803269931596,0.001629176121456299,0.0001827868432602298,0.007236917724312231
9,0.507029083223054,0.007859863536127332,0.00651261913270651,1.343351962224126e-05,0.023191648355256
10,0.5028891043055796,0.01148679648173911,0.01051414355750091,0.0005919290859318638,0.03609608825432109
11,0.5579571151476752,0.01097717335807587,0.01101889586616153,0.0003188452256118839,0.03448902726296976
12,0.5639611580386982,0.01249690431291206,0.01203159952394099,6.513338529894989e-05,0.03848794937290687
13,0.5686048363103379,0.01235281979517656,0.01199722346586872,0.0001721530691702713,0.0393771668310836
14,0.5292885062770223,0.01243078867665315,0.01083474083607572,0.003995302665729672,0.04775857506910519
15,0.5456163824123459,0.006318563640205777,0.005359415919458543,0.001042686342498711,0.02864120600726949
16,0.5665319555457498,0.002018583217870296,0.002018583217870296,0.002018583651259398,0.007344608270116626
17,0.5793439641373228,0.004381211492589188,0.004381211492589188,0.004381211492589188,0.004381211492589188
18,0.6498797731648414,0.0004683885563521022,0.0004683885563521022,0.0004683885563521022,0.0004683885563521022
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
