,$p(\overline{DC_{2}})$,"('$p(DC_{2})$', 'IEEE33', 'PM')","('$p(DC_{2})$', 'IEEE69', 'PM')","('$p(DC_{2})$', 'SA', 'PM')","('$p(DC_{2})$', 'CA141', 'Meta')"
0,0.5462215280226854,0.9991964136118345,0.9991964136118345,0.9991964136118345,0.9477659485788765
1,0.5726867767025258,0.9987967345979833,0.9993556739028913,0.9995623929553106,0.9673143954674949
2,0.5849696961784135,0.9988434099370286,0.9989171027905626,0.9989730449400085,0.9997148023423893
3,0.6174169384528305,0.999752463128787,0.9997594222158804,0.9997655083940209,0.9999999955807217
4,0.6971141433453965,0.9999999694724291,0.9999999821031264,0.999999997211253,0.9997641637649028
5,0.6315670116840454,0.9968020848462449,0.9981878911617611,0.999169239937115,0.8448179797171174
6,0.5601121546782514,0.8557191206709066,0.8557191206709066,0.8557191206709066,0.7994188744036176
7,0.5082869862221461,0.7965430549168508,0.7965430549168508,0.7965430549168508,0.0031455142594020093
8,0.5578095161310128,0.9069098092722601,0.9069098092722601,0.9069098092722601,0.8920629451667175
9,0.5563272165772485,0.974635260378473,0.974635260378473,0.974635260378473,0.954519146747645
10,0.548207286180889,0.9952518070841478,0.9952518070841478,0.9952518070841478,0.9918680035392271
11,0.5422705631899563,0.9925079676932178,0.9952612981076866,0.9967980590241364,0.9434851094399255
12,0.5413652631915307,0.9976456860091502,0.9991188912130464,0.9994546474204073,0.9200206118029746
13,0.5,0.9998982332807678,0.999989085983922,0.9999993763081317,0.9894100961455219
14,0.5,0.9987601097785417,0.9995188180340725,0.9997720264721227,0.9987881508852194
15,0.5,0.999751521724781,0.999751521724781,0.999751521724781,0.9935121067324977
16,0.5,0.9989568336442588,0.9996051606474328,0.99977374536169,0.7337672530062979
17,0.5,0.9977379511925012,0.9989047718391305,0.9997842791763261,0.9944900675290261
18,0.5,0.9971398704873019,0.9985876949361321,0.9997045367133284,0.9879918379205156
19,0.5140938479359304,0.9977695035564976,0.9993023727500079,0.9994217431681293,0.9970844200848081
20,0.5431622270870786,0.9914741282571347,0.9914741282571347,0.9914741282571347,0.8848448373111039
21,0.5424324179007235,0.9887242893704355,0.9887242893704355,0.9887242893704355,0.8727310330323904
22,0.5,0.9996226821357298,0.9996226821357298,0.9996226821357298,0.9856009200230392
23,0.5,0.9994969022417399,0.9999485109911536,0.9999997188202118,0.0154639618779959
