,$p(\overline{DC_{3}})$,"('$p(DC_{3})$', 'IEEE33', 'PM')","('$p(DC_{3})$', 'IEEE69', 'PM')","('$p(DC_{3})$', 'SA', 'PM')","('$p(DC_{3})$', 'CA141', 'Meta')"
0,0.5345813277041946,0.9891819411742443,0.9938887722407935,0.9949192649064406,0.9726180150731607
1,0.5330866499209439,0.9944310036650198,0.9962706532212631,0.9983441226948496,0.9785503144475801
2,0.5598721680291712,0.9961383654007089,0.9972934621883995,0.9990553560524681,0.9527980890033388
3,0.5791159178482777,0.9979176912602269,0.9983140910174095,0.9989746667312753,0.9952634086694846
4,0.6270704676286055,0.9999733054735406,0.9999787688559899,0.9999961196184898,0.999997900212517
5,0.631438000402869,0.9968627126258689,0.9977590706380549,0.9999056200587656,0.9955197644770444
6,0.5768956320316241,0.9837413456324808,0.9869820253061445,0.9971267308899081,0.8752994378554937
7,0.5438102358501764,0.9793135915317505,0.9832987116144613,0.9966520113420702,0.9740448913778599
8,0.5,0.9914456445525286,0.9942470820075278,0.9996776274648341,0.9993972129709874
9,0.5325331931661218,0.9810150193086771,0.9855172772355837,0.9968055753049525,0.9891674511840672
10,0.5270418534569108,0.9907377707288177,0.997520627362769,0.9994831053471994,0.9910041803210422
11,0.5243156948549255,0.9900827637923442,0.9959135196651743,0.9990885848335691,0.9550013001037422
12,0.5235899730367019,0.9898983560425835,0.996176811307653,0.9991922291025088,0.9440745927133346
13,0.522981032500289,0.9864987900011587,0.9930868438049711,0.9987250254912774,0.9370072224606669
14,0.5221560553099694,0.9894603925075102,0.9954421134030952,0.9994006241958763,0.9537650517333488
15,0.5210660308447602,0.9923465652830853,0.99594504743248,0.9990837574209164,0.9394953771345008
16,0.5207781319657433,0.9879469436409439,0.9936626374637001,0.99879955011402,0.990653264127863
17,0.5209085140575844,0.9843370379617699,0.9897421947691016,0.9971324867746579,0.9895636258743402
18,0.5200530511862199,0.9888131103098275,0.9962845330206659,0.9994965640070317,0.9923046703727537
19,0.5,0.9845568988116828,0.0001610449713513742,0.9845568988116828,0.8371729216760393
20,0.4429306484132886,0.8081027083256289,0.0004676424443602216,0.0004676424443509396,0.7823981213049525
21,0.40023793869182805,9.091275052980921e-05,9.091275053206895e-05,0.7062390227792024,0.7062390227792024
22,0.461184373010038,0.8665769125555052,0.0009183886032959466,0.8665769125555052,0.7612519707645216
23,0.5,0.9909966536821434,0.9922101690058489,0.9922101690058489,0.9753339553787961
