,$\overline{DC_{1}}$,"('$DC_{1}$', 'IEEE33', 'PM')","('$DC_{1}$', 'IEEE69', 'Meta')","('$DC_{1}$', 'SA', 'PM')","('$DC_{1}$', 'CA141', 'Meta')"
0,0.6741056454728697,1.291168531873579,0.4848681045301751,1.291168531873579,1.1896047379594172
1,0.6401423152623252,1.208453614838642,1.042370507467231,1.208453614838642,0.8690962147084077
2,0.5866990201213053,0.9542841718303487,0.8197414717480876,0.9542841718303487,0.6922962477458053
3,0.5258931909080318,0.9181526588577056,0.7514699096338204,0.9181526588577056,0.7297180936266399
4,0.4638244113426435,1.291168531873579,0.47915596899599827,1.291168531873579,0.6532102867565787
5,0.3983633717142617,0.918006971325456,0.8769555058333939,0.918006968374236,0.6952827558405814
6,0.36162680215350734,0.6756681556508546,0.5733526712337214,0.6756681556508546,0.572575592830084
7,0.3425125367561024,0.7093328561236041,0.4817261650466273,0.7093328561236041,0.45213839702947284
8,0.3339589284984742,0.5519287677212604,0.4277412565187782,0.5518817325091793,0.47154488757276164
9,0.327770486824819,0.5386785806122145,0.5709924907566912,0.5386373169893608,0.6320668070019358
10,0.3345626166201551,0.7131310260191642,0.4186496156546828,0.6971242828540414,0.40856674510860014
11,0.3633816991599815,0.7581794966462501,0.877102734590502,0.7577942851341972,0.6131969443771613
12,0.4310491868098758,1.291168531873579,0.5108385007490871,1.291168531873579,0.9473876338022986
13,0.5688312750086646,1.291168531873579,1.168264318943681,1.291168531873579,1.0429849374564417
14,0.716939770020441,1.291168531873579,1.1702853964986817,1.291168531873579,0.9725199158854583
15,0.8264215736042214,1.291168531873579,1.2129848606148832,1.291168531873579,0.865637443235005
16,0.9609751663021914,1.291168531873579,1.210195683027201,1.291168531873579,1.2819501215024205
17,0.9897432081740285,1.291168531873579,1.2869487503240704,1.291168531873579,1.1987860088673186
18,0.9359424470395892,1.291168531873579,1.2466472490271947,1.291168531873579,1.2120541723781701
19,0.9009807066334371,1.291168531873579,0.8349181810024872,1.291168531873579,1.098295240325436
20,0.8803332317931537,1.291168531873579,0.384215775826483,1.291168531873579,1.219463260988918
21,0.810628436422739,1.291168531873579,1.246582666907617,1.291168531873579,1.208233793188274
22,0.702918025640468,1.291168531873579,1.0849168868657468,1.291168531873579,1.1396349258862608
23,0.6878015641449691,1.291168531873579,1.2046814094640121,1.291168531873579,1.1339053159623649
