,$p(\overline{DC_{1}})$,"('$p(DC_{1})$', 'IEEE33', 'PM')","('$p(DC_{1})$', 'IEEE69', 'Meta')","('$p(DC_{1})$', 'SA', 'PM')","('$p(DC_{1})$', 'CA141', 'Meta')"
0,0.5,0.994309615887663,0.2188368549025574,0.994309615887663,0.9827524870350515
1,0.5,0.9930188264046803,0.9590562772333959,0.9930188264046803,0.8389960531064573
2,0.4951248613726117,0.9501724661888262,0.8655170755946086,0.9501724661888262,0.6969895378946334
3,0.499453936374763,0.9873391397038002,0.8948924455383238,0.9873391397038002,0.8705239226971615
4,0.5934217873271364,0.9972078662398699,0.6347926279546209,0.9972078662398699,0.9018124557421536
5,0.5900076949348939,0.9987458080456213,0.9982280397701764,0.9987458080151553,0.9898255653015992
6,0.5968219829294626,0.9986085007415592,0.9929776518075812,0.9986085007415592,0.9928834750040262
7,0.6112575400915273,0.9999086906262387,0.9900290048890997,0.9999086906262387,0.9787021298850291
8,0.6327956215593191,0.9989859522317679,0.9751989266169029,0.998984860704352,0.9926359585744272
9,0.6442966292624075,0.999466390840928,0.9997634859483348,0.9994658197183233,0.9999428094195884
10,0.6455172504499591,0.9999362976599844,0.9638728106811684,0.9999164026955268,0.9522122094291684
11,0.6239326093048432,0.9989351822003575,0.9996963820718917,0.9989305138624078,0.9934063806787822
12,0.5980655956436993,0.9991116271844966,0.805873562412202,0.9991116271844966,0.9942618825798647
13,0.5697098066733772,0.9944887504422084,0.9878774980823466,0.9944887504422084,0.9729334406988871
14,0.5624566412207377,0.9767018745289333,0.9538821197523357,0.9767018745289333,0.865862578799441
15,0.5593577843862583,0.9448361678855779,0.9183566625395247,0.9448361678855779,0.6178076323019512
16,0.5,0.9149883201405669,0.8498157720633877,0.9149883201405669,0.9088687961859079
17,0.5152613350816614,0.8308384299838814,0.8281732375031949,0.8308384299838814,0.7620947075913543
18,0.5277917105908482,0.891575037098053,0.8686740926341568,0.891575037098053,0.8474501004260505
19,0.5333084762263641,0.9220622312480171,0.41066537786169005,0.9220622312480171,0.8053032400577436
20,0.5548644737436048,0.9298300450830864,0.002931564723449588,0.9298300450830864,0.8988694030241359
21,0.54408448104645,0.9500262370589133,0.9391184123646158,0.9500262370589133,0.9275866244221935
22,0.5126849946119483,0.9903657337997717,0.953744440640609,0.9903657337997717,0.9693033328783174
23,0.5,0.9946931399098011,0.9856981739476289,0.9946931399098011,0.9705661743052245
