,$p(\overline{DC_{3}})$,"('$p(DC_{3})$', 'IEEE33', 'PM')","('$p(DC_{3})$', 'IEEE69', 'Meta')","('$p(DC_{3})$', 'SA', 'PM')","('$p(DC_{3})$', 'CA141', 'Meta')"
0,0.5,0.9844281200361507,0.9752720614007725,0.9844281200361507,0.06619060818744749
1,0.5,0.932511373306942,0.020180508014563454,0.932511373306942,0.8080590332724962
2,0.45483449304637025,0.8483775326010147,0.8223840860171784,0.8483775326010147,0.840325267732091
3,0.43164641729585645,0.0002128610940128743,0.7686266108490896,0.7821802008953708,0.00045521140188737577
4,0.44670734770851434,0.8090060179985133,0.8090060179985133,0.8090060179985133,0.8090060179985133
5,0.5,0.9415054356929915,0.9048262326897017,0.9415054356929915,0.9320104158436032
6,0.5328353631669765,0.9799102423578162,0.9758846441783938,0.9799102423578162,0.9352052905895977
7,0.5370831285452552,0.989857233710748,0.9505336428214353,0.992774713856747,0.9737784744646446
8,0.5418862161910649,0.9846427872619967,0.8714201720107551,0.9929029726879552,0.9765642968779793
9,0.5460736234527016,0.9850810385427807,0.9891234542026339,0.9967661452095888,0.9863187409028995
10,0.5502765256953759,0.9890136997049197,0.8684476961460846,0.9976678902806457,0.9894898901772012
11,0.5798203750651917,0.9869856071512236,0.9716567493378008,0.9951148343400983,0.9617331346359722
12,0.5830973157994614,0.9913187179664928,0.991059648814441,0.9960326118548195,0.7863319828080659
13,0.5896801872125551,0.9894641500805742,0.9977180396742238,0.9951301678439809,0.9685121069279884
14,0.585430570948104,0.9899062585782916,0.9989561198837307,0.9991383095469197,0.8198579234846187
15,0.5702041646705993,0.988740707346389,0.9941277626807062,0.9958026247700743,0.920948303225513
16,0.5617019003562919,0.9851543221685568,0.9799874723329717,0.9961403291392563,0.8880847973317768
17,0.5415392981537253,0.9871057023050015,0.9862052144859006,0.9958152807087077,0.9501932278886827
18,0.5424905283864678,0.9838608064247455,0.9919755977550788,0.9964939348846751,0.9663684995606012
19,0.5,0.991442308355498,0.994448184624619,0.9995711697183656,0.9983183572669548
20,0.5,0.9952377326617496,0.9901170372620026,0.9978739156937722,0.8013350275052515
21,0.5,0.9962568614534418,0.9540283614263045,0.9985838035641469,0.9332745053932332
22,0.5,0.9907108951691203,0.92837755341021,0.9947645260770459,0.9473793502301286
23,0.5,0.9947716986308952,0.9982755158050106,0.9995029500976247,0.9905766266787941
