v,ph,pl,ql,pg,qg,t
1,0,0.455656998495755,0.336774948720091,10.6688329274639,6.66633290750406,0.0022421
0.994287904254076,-0.000334434823165636,0,0,0,0,0
0.977369424118717,-0.00134911442660699,0,0,0,0,0
0.994247119844932,-0.000336972978975208,0,0,0,0,0
0.97728277065109,-0.00135184934816019,0,0,0,0,0
0.994245483753739,-0.000336754566732049,0,0,0,0,0
0.976381441202474,-0.00140538133125561,0,0,0,0,0
0.975732770018744,-0.00145013698296269,0,0,0,0,0
0.975995488665395,-0.00127621089609282,0,0,0,0,0
0.97622068458379,-0.00146291882743299,0,0,0,0,0
0.972875286348247,-0.00258859502576239,0,0,0,0,0
0.975405822417042,-0.00157943863575819,0,0,0,0,0
0.970770714428676,-0.00343192135141077,0,0,0,0,0
0.965911594603693,-0.00215765514018907,0,0,0,0,0
0.972316702385504,-0.0028107774296803,0,0,0,0,0
0.972866346782084,-0.00258915822913192,0,0,0,0,0
0.969344485452347,-0.0035206016881307,0,0,0,0,0
0.961597698684208,-0.0024227309341891,0,0,0,0,0
0.965858490289083,-0.00216100884255585,0,0,0,0,0
0.970840811312207,-0.0034022882275312,0,0,0,0,0
0.968232443003643,-0.00359057578675202,0,0,0,0,0
0.960005870724561,-0.00252028636282309,0,0,0,0,0
0.970119662754578,-0.00369139455183789,0,0,0,0,0
0.970476070429601,-0.00342518994259017,0,0,0,0,0
0.968019481505883,-0.00360379775326428,0,0,0,0,0
0.955791029201597,-0.00278609358268721,0,0,0,0,0
0.969607735587611,-0.00389773834799434,0,0,0,0,0
0.970062072231299,-0.00345114656737677,0,0,0,0,0
0.967927197165632,-0.00348765532375333,0,0,0,0,0
0.965718900472513,-0.00374745886444585,0,0,0,0,0
0.945278177917503,-0.00345519415605725,0,0,0,0,0
0.969009172691068,-0.00413881299557361,0,0,0,0,0
0.96991020625325,-0.00339562017184888,0,0,0,0,0
0.97005644076614,-0.0034492422469712,0,0,0,0,0
0.96951428174857,-0.00390379183685419,0,0,0,0,0
0.968000719860661,-0.00360496135944156,0,0,0,0,0
0.963549076964775,-0.003881442224792,0,0,0,0,0
0.942549791258976,-0.00363116190215714,0,0,0,0,0
0.944982395572942,-0.00347436706740971,0,0,0,0,0
0.945176879150032,-0.00346190728676294,0,0,0,0,0
0.968604560395405,-0.00430171075010537,0,0,0,0,0
0.970050809304498,-0.0034473379044552,0,0,0,0,0
0.969285007081483,-0.00391827829739477,0,0,0,0,0
0.968765987810202,-0.00405685465141665,0,0,0,0,0
0.962817036421517,-0.00392735283351171,0,0,0,0,0
0.941558102344362,-0.00369626366660094,0,0,0,0,0
0.944014338930613,-0.00353699961431177,0,0,0,0,0
0.945166271684202,-0.00346922239201962,0,0,0,0,0
0.942541039369867,-0.00363172603023564,0,0,0,0,0
0.968307104481263,-0.00442129938794912,0,0,0,0,0
0.969002772296884,-0.00382329715621229,0,0,0,0,0
0.963415163498368,-0.00388995382476029,0,0,0,0,0
0.961426296267547,-0.00401519437462934,0,0,0,0,0
0.941100039103299,-0.00372705874000669,0,0,0,0,0
0.943711228008611,-0.0035566262374354,0,0,0,0,0
0.943623391806215,-0.00356199318029413,0,0,0,0,0
0.943938875617737,-0.00354200787122996,0,0,0,0,0
0.940960425107444,-0.00373546389853232,0,0,0,0,0
0.968307104481263,-0.00442129938794912,0,0,0,0,0
0.968842764950876,-0.00376928039117422,0,0,0,0,0
0.968019681130147,-0.00437551305658508,0,0,0,0,0
0.968293000262561,-0.00441652127240825,0,0,0,0,0
0.963271563862417,-0.00389910551185863,0,0,0,0,0
0.962793020020845,-0.00392913673923442,0,0,0,0,0
0.960644357006611,-0.00406506238246551,0,0,0,0,0
0.94091264213771,-0.00375026403236907,0,0,0,0,0
0.943428138664285,-0.00357482877185851,0,0,0,0,0
0.943504862273617,-0.00356982228346437,0,0,0,0,0
0.943337799885171,-0.00358058958596592,0,0,0,0,0
0.94391783919905,-0.00353467967859309,0,0,0,0,0
0.943863976477471,-0.00354682960525626,0,0,0,0,0
0.940792570906012,-0.00374043314080143,0,0,0,0,0
