,CB,SOC0,ZB,PB,SOC
0,3.89069,5.943207363290061e-08,2,-3.890689554187509,0.999999944847645
1,0.0,0.0,61,0.6792225507358296,0.8254235713160014
2,0.0,0.0,65,0.4018675709786783,0.7221340337300887
3,0.0,0.0,61,0.4582128795640377,0.60436240978574
4,0.0,0.0,64,0.3720939327789607,0.5087254063793512
5,0.0,0.0,61,0.4141141617059807,0.4022882032853036
6,0.0,0.0,61,0.4758424126562435,0.27998536942903546
7,0.0,0.0,61,0.5735505687665052,0.13256921220075332
8,0.0,0.0,65,0.3124161734602406,0.05227081436786755
9,0.0,0.0,20,0.2033692895662802,6.301822704074934e-08
10,0.0,0.0,29,-3.890689435909246,0.9999999180334672
11,0.0,0.0,23,0.26842020412376,0.9310095322346089
12,0.0,0.0,33,-0.2684202039470049,0.999999917988037
13,0.0,0.0,62,0.6097208423161979,0.8432871389395397
14,0.0,0.0,63,0.6285465195965636,0.6817357124325287
15,0.0,0.0,61,0.7257755599435127,0.4951941067164441
16,0.0,0.0,62,0.8610199382400914,0.27389147447381085
17,0.0,0.0,62,1.065626173145015,1.664680288719631e-07
18,0.0,0.0,1,-3.890688352621652,0.9999997430525553
19,0.0,0.0,62,1.755704085774857,0.5487419749510473
20,0.0,0.0,60,2.134984847397858,0.0
21,0.0,0.0,36,-3.890689368996676,0.9999998550696937
22,0.0,0.0,61,2.144580232270723,0.4487916549122094
23,0.0,0.0,61,1.746108972618609,5.943207363290061e-08
